 WL        Abs       T%
 716.0  0.251707  56.013512
 717.0  0.251325  56.062778
 718.0  0.250856  56.123383
 719.0  0.250453  56.175476
 720.0  0.250007  56.233177
 721.0  0.249608  56.284924
 722.0  0.249241  56.332436
 723.0  0.248747  56.396641
 724.0  0.248386  56.443474
 725.0  0.247900  56.506645
 726.0  0.247431  56.567757
 727.0  0.246991  56.625099
 728.0  0.246528  56.685482
 729.0  0.246113  56.739750
 730.0  0.245820  56.777966
 731.0  0.245438  56.827984
 732.0  0.244950  56.891899
 733.0  0.244640  56.932499
 734.0  0.244189  56.991650
 735.0  0.243760  57.047977
 736.0  0.243294  57.109188
 737.0  0.242851  57.167534
 738.0  0.242392  57.227917
 739.0  0.242009  57.278393
 740.0  0.241693  57.320057
 741.0  0.241434  57.354275
 742.0  0.241143  57.392700
 743.0  0.240869  57.428913
 744.0  0.240394  57.491749
 745.0  0.240014  57.542175
 746.0  0.239593  57.597897
 747.0  0.239223  57.647053
 748.0  0.238731  57.712379
 749.0  0.238424  57.753216
 750.0  0.237822  57.833344
 751.0  0.237385  57.891571
 752.0  0.237121  57.926716
 753.0  0.236621  57.993389
 754.0  0.236226  58.046249
 755.0  0.235759  58.108723
 756.0  0.235408  58.155621
 757.0  0.235058  58.202602
 758.0  0.234666  58.255108
 759.0  0.234300  58.304234
 760.0  0.233876  58.361221
 761.0  0.233568  58.402534
 762.0  0.232940  58.487095
 763.0  0.232550  58.539616
 764.0  0.232081  58.602924
 765.0  0.231720  58.651558
 766.0  0.231259  58.713943
 767.0  0.230905  58.761730
 768.0  0.230526  58.813110
 769.0  0.230224  58.854000
 770.0  0.229814  58.909565
 771.0  0.229370  58.969894
 772.0  0.229065  59.011333
 773.0  0.228653  59.067242
 774.0  0.228207  59.128040
 775.0  0.227895  59.170448
 776.0  0.227469  59.228588
 777.0  0.227012  59.290890
 778.0  0.226629  59.343250
 779.0  0.226242  59.396069
 780.0  0.225870  59.447006
 781.0  0.225475  59.501122
 782.0  0.225188  59.540447
 783.0  0.224751  59.600327
 784.0  0.224419  59.645973
 785.0  0.224028  59.699615
 786.0  0.223670  59.748844
 787.0  0.223275  59.803238
 788.0  0.222948  59.848381
 789.0  0.222495  59.910755
 790.0  0.222120  59.962597
 791.0  0.221774  60.010365
 792.0  0.221298  60.076073
 793.0  0.220987  60.119164
 794.0  0.220686  60.160843
 795.0  0.220330  60.210255
